Sample ID,Latitude,Longitude,Location,Site,Sample type,E. coli present,AMR present,MDR present,Ceftriaxone,Tetracycline,Ciprofloxacin,Ampicillin,Chloramphenicol,Gentamycin,Streptomycin,Trimethoprim,Prevalence E. coli,Prevalence AMR,Prevalence MDR
1,-1.8637093,36.7711997,Kajiado homestead,Homestead,Soil,Yes,Yes,Yes,resistant,sensitive,resistant,sensitive,sensitive,resistant,intermediate,sensitive,0.8,1,0.75
2,-1.8637093,36.7711997,Kajiado homestead,Homestead,Soil,Yes,Yes,Yes,resistant,sensitive,intermediate,resistant,sensitive,sensitive,resistant,resistant,0.8,1,0.75
3,-1.8637093,36.7711997,Kajiado homestead,Homestead,Soil,Yes,Yes,No,intermediate,sensitive,intermediate,resistant,sensitive,intermediate,intermediate,sensitive,0.8,1,0.75
4,-1.8637093,36.7711997,Kajiado homestead,Homestead,Faeces,Yes,Yes,Yes,sensitive,resistant,intermediate,resistant,sensitive,sensitive,resistant,resistant,0.8,1,0.75
5,-1.8637093,36.7711997,Kajiado homestead,Homestead,Soil,No,No,No,,,,,,,,,0.8,1,0.75
6,-1.890377,36.602486,Elangata Wuas homestead,Homestead,Soil,Yes,Yes,No,resistant,sensitive,intermediate,sensitive,sensitive,sensitive,sensitive,resistant,0.4,0.5,0
7,-1.890377,36.602486,Elangata Wuas homestead,Homestead,Soil,Yes,No,No,,,,,,,,,0.4,0.5,0
8,-1.890377,36.602486,Elangata Wuas homestead,Homestead,Faeces,No,No,No,,,,,,,,,0.4,0.5,0
9,-1.890377,36.602486,Elangata Wuas homestead,Homestead,Soil,No,No,No,,,,,,,,,0.4,0.5,0
10,-1.890377,36.602486,Elangata Wuas homestead,Homestead,Soil,No,No,No,,,,,,,,,0.4,0.5,0
11,-1.901175,36.604018,Mile 46 hospital,Hospital,Soil,Yes,No,No,sensitive,intermediate,intermediate,sensitive,sensitive,sensitive,sensitive,intermediate,0.4,0,0
12,-1.901175,36.604018,Mile 46 hospital,Hospital,Faeces,Yes,No,No,sensitive,sensitive,intermediate,intermediate,sensitive,sensitive,intermediate,sensitive,0.4,0,0
13,-1.901175,36.604018,Mile 46 hospital,Hospital,Faeces,No,No,No,,,,,,,,,0.4,0,0
14,-1.901175,36.604018,Mile 46 hospital,Hospital,Water,No,No,No,,,,,,,,,0.4,0,0
15,-1.901175,36.604018,Mile 46 hospital,Hospital,Water,No,No,No,,,,,,,,,0.4,0,0
16,-1.912313,36.829365,Homestead near Kajiado Town,Homestead,Faeces,No,No,No,,,,,,,,,0,0,0
17,-1.912313,36.829365,Homestead near Kajiado Town,Homestead,Faeces,No,No,No,,,,,,,,,0,0,0
18,-1.912313,36.829365,Homestead near Kajiado Town,Homestead,Faeces,No,No,No,,,,,,,,,0,0,0
19,-1.912313,36.829365,Homestead near Kajiado Town,Homestead,Soil,No,No,No,,,,,,,,,0,0,0
20,-1.912313,36.829365,Homestead near Kajiado Town,Homestead,Soil,No,No,No,,,,,,,,,0,0,0
21,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Water,Yes,No,No,sensitive,sensitive,intermediate,intermediate,sensitive,sensitive,intermediate,sensitive,0.6,0,0
22,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,Yes,No,No,,,,,,,,,0.6,0,0
23,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Faeces,Yes,No,No,,,,,,,,,0.6,0,0
24,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Faeces,Yes,No,No,sensitive,sensitive,intermediate,intermediate,sensitive,sensitive,intermediate,sensitive,0.6,0,0
25,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Faeces,Yes,No,No,,,,,,,,,0.6,0,0
26,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,Yes,No,No,,,,,,,,,0.6,0,0
27,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,No,No,No,,,,,,,,,0.6,0,0
28,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,No,No,No,,,,,,,,,0.6,0,0
29,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,No,No,No,,,,,,,,,0.6,0,0
30,-1.827136,36.6044826,Dam between Kilonito and Mile 46,Dam,Soil,No,No,No,,,,,,,,,0.6,0,0
31,-1.777595,36.615022,Kilonito homestead and dam,Homestead,Faeces,Yes,Yes,No,sensitive,sensitive,intermediate,intermediate,intermediate,sensitive,sensitive,resistant,0.17,1,0
32,-1.777595,36.615022,Kilonito homestead and dam,Homestead,Faeces,No,No,No,,,,,,,,,0.17,1,0
33,-1.777595,36.615022,Kilonito homestead and dam,Homestead,Faeces,No,No,No,,,,,,,,,0.17,1,0
34,-1.777595,36.615022,Kilonito homestead and dam,Homestead,Faeces,No,No,No,,,,,,,,,0.17,1,0
35,-1.777595,36.615022,Kilonito homestead and dam,Homestead,Soil,No,No,No,,,,,,,,,0.17,1,0
